Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQC_LDS_BANK_CONFLICT
71,"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>) [clone .kd]",1,1,30,32515,32515,1024,1024,512,0,16,0,128,32,0x0,0x7dc4fc5d6bc0,0
72,"void tmac_gemv_direct<(ggml_type)21, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,31,32515,32515,65536,256,2048,0,96,0,128,32,0x0,0x7dc4c6f2d7c0,538
73,"void rope_norm<true, true, float, float>(float const*, float*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int) [clone .kd]",1,1,32,32515,32515,8192,256,0,0,24,0,128,32,0x0,0x7dc4f9f175c0,0
74,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,33,32515,32515,16384,256,0,0,72,0,128,32,0x0,0x7dc4c6f2cfc0,0
75,"void tmac_gemv_direct<(ggml_type)21, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,34,32515,32515,16384,256,2048,0,96,0,128,32,0x0,0x7dc4c6f2d7c0,229
76,"void rope_norm<true, true, float, __half>(float const*, __half*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int) [clone .kd]",1,1,35,32515,32515,2048,256,0,0,24,0,128,32,0x0,0x7dc4f9f17640,0
77,"void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>) [clone .kd]",1,1,36,32515,32515,512,256,0,0,24,0,128,32,0x0,0x7dc4fa66bd00,0
78,"void mul_mat_vec_f<__half, float, 1, 32, false, false>(__half const*, float const*, int const*, ggml_cuda_mm_fusion_args_device, float*, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int) [clone .kd]",1,1,37,32515,32515,262144,32,512,0,16,0,128,32,0x0,0x7dc4b81a7d00,1420
79,"void soft_max_f32<true, 256, 256, float>(float const*, float const*, float const*, float*, soft_max_params) [clone .kd]",1,1,38,32515,32515,8192,256,1536,0,24,0,128,32,0x0,0x7dc4fa3a98c0,0
80,"void mul_mat_vec_f<__half, __half, 1, 128, false, false>(__half const*, float const*, int const*, ggml_cuda_mm_fusion_args_device, float*, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int) [clone .kd]",1,1,39,32515,32515,262144,128,512,0,16,0,128,32,0x0,0x7dc4b81a6880,2086
